strain,energy,,strain,VBM,CBM,,K(VBM),E(VBM),,KCBM,E(CBM)
-0.04,0.1123,,-0.04,-4.115,-2.114,,2.35178,-0.72149,,1.49782,1.82458
-0.035,0.09742,,-0.035,-4.012,-2.108,,2.38152,-0.70145,,1.46123,1.80415
-0.03,0.07654,,-0.03,-3.945,-2.124,,2.42174,-0.67807,,1.42966,1.78505
-0.025,0.05541,,-0.025,-3.862,-2.137,,2.49523,-0.49948,,1.39292,1.67322
-0.02,0.04876,,-0.02,-3.841,-2.146,,2.56872,-0.36125,,1.35617,1.56627
-0.015,0.03215,,-0.015,-3.832,-2.159,,2.64221,-0.26837,,1.31943,1.47252
-0.01,0.01327,,-0.01,-3.803,-2.168,,2.71569,-0.22101,,1.28269,1.39942
-0.005,0.00263,,-0.005,-3.774,-2.181,,2.78918,-0.21532,,1.24594,1.35296
0,0,,0,-3.748,-2.196,,2.86267,-0.24536,,1.2092,1.33703
0.005,0.00512,,0.005,-3.723,-2.211,,2.93616,-0.30452,,1.2092,1.33703
0.01,0.01869,,0.01,-3.701,-2.229,,3.00964,-0.38622,,1.14556,1.3508
0.015,0.03864,,0.015,-3.681,-2.247,,3.08313,-0.48288,,1.08192,1.39297
0.02,0.04562,,0.02,-3.662,-2.261,,3.15662,-0.58322,,1.01827,1.46617
0.025,0.06243,,0.025,-3.638,-2.274,,3.23011,-0.66749,,0.95463,1.57492
0.03,0.08012,,0.03,-3.615,-2.291,,3.35186,-0.68471,,0.89099,1.72531
0.035,0.10124,,0.035,-3.601,-2.304,,3.41256,-0.71245,,0.87542,1.75491
0.04,0.13245,,0.04,-3.584,-2.314,,3.38679,-0.73456,,0.84751,1.79856